Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle,Current,Voltage,Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Time,Power_W,Energy_Wh,dV_dt
1,1.001204899095445,2015-10-16 09:34:19,1.001205550714468,1,1,0.5000528471821549,0.5495522051085009,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2,2.016763296112649,2015-10-16 09:34:20,2.016763872544861,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0,0,0,1.0,0.0,0.0,0.00016188621520996094
3,3.032253944801314,2015-10-16 09:34:21,3.032254521233526,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,6.480216688942164e-05,0.0,0,0,0,2.0,0.0,0.0,0.0001621246337890625
4,4.032554301456696,2015-10-16 09:34:22,4.032555003200259,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,6.480216688942164e-05,0.0,0,0,0,3.0,0.0,0.0,0.0
5,5.047982630304525,2015-10-16 09:34:23,5.047983301973364,1,1,0.5000528471821549,0.5495522051085009,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,0.0,0.0,-0.00032401084899902344
6,6.063492426567549,2015-10-16 09:34:24,6.063493002999762,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,3.232290328014642e-05,0.0,0,0,0,5.0,0.0,0.0,0.00032401084899902344
7,7.063553223007935,2015-10-16 09:34:25,7.063553804452601,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,0.0,0.0,-0.0001621246337890625
8,8.07818820569569,2015-10-16 09:34:26,8.078188476368208,1,1,0.5000528471821549,0.549837997322977,0.0,0.0,0.0,0.0,6.480216688942164e-05,0.0,0,0,0,7.0,0.0,0.0,0.00032401084899902344
9,9.079358162974158,2015-10-16 09:34:27,9.07935892486717,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0,0,0,8.0,0.0,0.0,-0.00032401084899902344
10,10.09378097850814,2015-10-16 09:34:28,10.093781529878084,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9.0,0.0,0.0,0.0
11,11.094497774855988,2015-10-16 09:34:29,11.09449832622593,1,1,0.5000528471821549,0.5495522051085009,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0,0,0,10.0,0.0,0.0,-0.00016188621520996094
12,12.094735601147466,2015-10-16 09:34:30,12.094736182592133,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0,0,0,11.0,0.0,0.0,0.00016188621520996094
13,13.11016489739892,2015-10-16 09:34:31,13.110165564055308,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,12.0,0.0,0.0,0.0
14,14.11036312530364,2015-10-16 09:34:32,14.110363701735851,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13.0,0.0,0.0,0.0001621246337890625
15,15.12593281537975,2015-10-16 09:34:33,15.12593348704859,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,0.0,0.0,-0.0001621246337890625
16,16.12593831943984,2015-10-16 09:34:34,16.125938865797327,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,15.000000000000002,0.0,0.0,0.0
17,17.14103712956037,2015-10-16 09:34:35,17.14103780122921,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.0,0.0,0.0,0.0
18,18.141147769843535,2015-10-16 09:34:36,18.141148441512374,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17.0,0.0,0.0,0.0
19,19.15718422966293,2015-10-16 09:34:37,19.1571848111076,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0,0,0,18.0,0.0,0.0,0.0001621246337890625
20,20.172996527526085,2015-10-16 09:34:38,20.172997103958295,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,-3.24249267578125e-05,0.0,0,0,0,19.0,0.0,0.0,-0.0001621246337890625
21,21.173008287128788,2015-10-16 09:34:39,21.173008963810084,1,1,0.5000528471821549,0.5497427799953865,0.0,0.0,0.0,0.0,3.24249267578125e-05,0.0,0,0,0,20.0,0.0,0.0,0.0001621246337890625
22,22.187404827378796,2015-10-16 09:34:40,22.18740538376119,1,1,0.5000528471821549,0.5496474224360914,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0,0,0,21.0,0.0,0.0,-0.0001621246337890625
